TIME,LAT,LONG,VAL
0,36.07304482,-79.77605888,298
0.1,36.0730466,-79.77605746,314
0.2,36.07304838,-79.77605603,319
0.3,36.07305015,-79.77605461,314
0.4,36.07305156,-79.77605349,307
0.5,36.07305156,-79.77605349,300
0.6,36.07305156,-79.77605349,293
0.7,36.07305156,-79.77605349,287
0.8,36.07305156,-79.77605349,281
0.9,36.07305156,-79.77605349,276
1,36.07305156,-79.77605349,271
1.1,36.07305156,-79.77605349,266
1.2,36.07305156,-79.77605349,261
1.3,36.07305156,-79.7760535,256
1.4,36.07305155,-79.7760535,242
1.5,36.07305155,-79.7760535,237
1.6,36.07305157,-79.77605348,232
1.7,36.07305159,-79.77605345,224
1.8,36.07305162,-79.77605341,222
1.9,36.07305165,-79.77605337,219
2,36.07305167,-79.77605335,216
2.1,36.07305163,-79.7760534,214
2.2,36.07305152,-79.77605354,212
2.3,36.07305131,-79.77605381,210
2.4,36.07305099,-79.77605421,210
2.5,36.07305056,-79.77605475,209
2.6,36.07305001,-79.77605546,208
2.7,36.07304941,-79.77605624,207
2.8,36.07304878,-79.77605706,206
2.9,36.07304816,-79.77605787,205
3,36.07304758,-79.77605863,203
3.1,36.07304704,-79.7760593,201
3.2,36.07304651,-79.7760599,200
3.3,36.07304598,-79.77606041,198
3.4,36.07304543,-79.77606084,196
3.5,36.07304486,-79.77606118,185
3.6,36.07304425,-79.7760614,182
3.7,36.07304363,-79.77606152,179
3.8,36.073043,-79.77606154,176
3.9,36.07304237,-79.77606149,173
4,36.07304178,-79.77606137,171
4.1,36.07304124,-79.7760612,169
4.2,36.07304077,-79.77606103,167
4.3,36.07304039,-79.77606089,166
4.4,36.07304009,-79.77606078,165
4.5,36.07303985,-79.77606069,165
4.6,36.07303971,-79.77606065,165
4.7,36.07303963,-79.77606062,165
4.8,36.07303957,-79.7760606,166
4.9,36.07303952,-79.77606059,166
5,36.07303954,-79.7760606,167
5.1,36.07303957,-79.77606061,168
5.2,36.07303961,-79.77606062,178
