S1,S2,S3,S4,S5,S6,Time
426,370,330,323,298,293,516
345,350,337,329,314,293,533
316,325,326,325,319,301,550
307,310,312,314,314,301,567
304,303,302,303,307,297,584
302,298,296,296,300,292,601
298,295,292,290,293,287,618
293,290,287,286,287,281,635
288,285,283,281,281,275,652
282,280,277,276,276,269,669
277,275,272,271,271,263,686
271,269,267,266,266,258,703
266,264,262,260,261,253,719
261,259,257,256,256,247,737
249,247,245,243,242,233,756
243,241,239,238,237,227,774
237,236,234,233,232,223,790
228,227,226,225,224,216,811
224,223,222,222,222,214,827
222,220,219,218,219,212,844
219,218,216,216,216,210,862
217,216,214,213,214,208,879
215,214,212,211,212,205,896
213,212,210,209,210,203,913
212,211,209,209,210,203,930
211,209,208,208,209,203,948
210,209,207,207,208,202,964
210,208,206,206,207,201,982
209,207,205,205,206,199,999
208,206,204,204,205,198,1015
207,205,203,203,203,196,1033
205,204,202,201,201,194,1050
203,202,200,200,200,192,1068
202,200,199,198,198,189,1085
199,198,196,196,196,187,1101
191,190,188,187,185,175,1122
186,186,184,184,182,171,1139
182,181,180,180,179,168,1157
178,177,176,177,176,165,1173
175,175,174,174,173,162,1190
173,172,171,171,171,161,1208
171,170,169,169,169,159,1225
169,168,167,167,167,158,1243
168,167,166,166,166,157,1259
167,166,165,165,165,157,1276
167,166,165,165,165,157,1294
167,166,165,165,165,157,1311
167,166,165,165,165,157,1328
168,167,166,166,166,158,1345
168,167,166,166,166,158,1362
168,167,166,167,167,159,1380
169,168,167,167,168,161,1396
178,177,175,176,178,169,1417
179,177,175,175,177,168,1434
178,177,175,175,175,166,1452
176,175,174,174,173,164,1469
175,174,172,172,172,162,1485
173,172,171,171,170,160,1503
171,170,169,169,169,159,1520
170,169,168,168,167,157,1538
168,167,166,166,165,155,1554
166,165,164,164,163,152,1571
163,162,161,161,160,148,1589
159,159,158,158,157,145,1606
157,157,156,156,155,144,1624
155,155,154,154,153,143,1640
154,154,153,153,153,142,1657
153,153,152,152,152,142,1675
153,152,151,152,151,141,1692
157,157,156,158,158,148,1712
158,158,157,158,159,150,1729
161,160,159,160,161,153,1746
163,162,161,161,162,155,1764
165,164,162,163,164,157,1780
166,165,164,164,165,157,1798
167,166,164,165,165,158,1815
169,168,166,166,166,158,1832
169,168,166,167,166,158,1849
169,168,167,167,167,158,1866
169,168,167,167,167,158,1884
169,168,166,167,166,157,1901
168,167,166,166,165,155,1918
167,166,165,165,164,154,1935
165,165,164,164,163,153,1952
164,164,163,163,162,152,1970
163,162,161,162,161,150,1987
152,152,150,150,147,138,2008
150,150,149,150,147,138,2024
149,149,148,149,147,137,2041
148,148,147,148,147,137,2059
148,148,147,148,148,138,2075
149,149,147,148,148,139,2093
150,150,148,149,149,140,2110
151,150,149,150,150,142,2127
153,152,150,151,151,143,2145
153,153,151,152,152,144,2161
154,154,152,153,153,145,2179
156,155,153,154,155,148,2196
158,157,155,156,157,150,2213
160,159,157,158,159,152,2230
162,161,159,160,160,153,2247
163,163,161,161,162,154,2265
165,164,162,163,163,155,2282
165,164,162,162,161,152,2302
163,163,161,161,160,150,2319
162,161,160,160,159,149,2336
160,160,158,159,158,147,2354
159,158,156,157,155,144,2371
156,155,154,154,153,141,2387
153,153,151,152,151,139,2405
150,150,149,149,148,137,2422
149,149,147,148,147,136,2440
148,147,146,147,146,135,2456
147,147,145,146,146,135,2473
147,146,145,145,145,135,2491
146,146,144,145,145,135,2508
146,146,144,145,145,136,2525
147,146,145,146,146,137,2542
148,148,146,147,147,139,2560
149,149,147,148,148,140,2577
160,159,158,160,161,152,2596
162,161,159,160,161,153,2614
163,162,160,161,162,154,2631
164,163,161,162,162,154,2648
164,164,162,162,162,154,2665
165,164,162,163,163,154,2682
165,164,162,163,163,154,2699
165,164,162,163,163,154,2716
165,164,163,163,163,154,2733
165,164,163,163,163,153,2750
164,164,162,163,162,153,2766
164,163,162,162,162,152,2784
163,163,161,162,161,151,2801
162,162,160,161,160,150,2818
162,161,160,160,160,149,2835
161,160,159,159,159,148,2851
155,154,152,152,150,139,2871
147,147,146,146,143,133,2890
145,146,145,146,144,134,2908
145,145,144,145,144,135,2925
146,145,144,145,145,136,2941
147,146,145,146,146,137,2959
147,147,145,146,146,138,2976
148,148,146,147,147,139,2993
149,148,147,148,148,140,3010
150,149,148,148,148,140,3026
151,150,149,149,149,141,3044
151,151,149,150,150,141,3060
152,151,150,150,150,142,3078
153,152,151,152,152,145,3095
154,154,152,153,153,146,3111
155,155,153,154,154,147,3129
157,156,155,155,156,149,3145
159,158,156,157,157,150,3163
166,165,163,164,164,155,3183
166,165,163,163,163,154,3200
165,164,162,162,162,152,3217
163,163,161,161,161,151,3234
162,162,160,161,160,150,3252
161,161,159,160,159,148,3268
160,159,158,159,158,147,3286
159,158,157,157,156,145,3303
157,156,154,155,153,142,3320
154,153,152,152,151,139,3337
150,150,149,149,148,137,3354
149,149,147,148,147,135,3372
147,147,146,147,146,135,3389
147,146,145,146,145,135,3406
146,146,144,145,145,135,3423
146,145,144,145,144,134,3440
146,145,144,145,145,135,3458
153,152,151,153,154,145,3478
156,155,154,155,157,149,3495
159,158,156,157,158,151,3512
161,160,158,159,159,152,3529
163,162,160,160,161,153,3547
164,163,161,162,162,154,3563
165,164,162,163,163,154,3580
165,164,163,163,163,154,3598
165,165,163,164,164,155,3615
166,165,163,164,163,154,3633
165,164,163,163,163,153,3649
164,163,162,162,162,152,3666
163,162,161,161,161,151,3684
162,162,160,160,160,149,3701
161,161,159,159,159,148,3718
160,159,158,158,158,147,3735
158,158,156,156,155,144,3752
147,147,146,146,143,134,3773
146,146,145,146,144,134,3790
146,145,144,145,144,135,3807
146,146,144,145,145,136,3824
147,146,145,146,146,137,3842
148,148,146,147,147,139,3859
150,149,147,148,148,140,3875
151,151,149,150,150,142,3893
152,152,150,151,151,143,3910
153,153,151,152,153,145,3928
155,155,153,154,155,147,3944
158,157,155,156,157,150,3961
160,159,158,158,159,151,3979
162,161,159,160,160,153,3996
163,162,161,161,161,153,4014
164,164,162,162,162,154,4030
165,164,162,163,163,154,4047
163,162,160,160,159,149,4068
161,160,159,159,158,148,4085
160,159,158,158,156,145,4102
157,157,155,156,154,143,4119
155,154,153,153,152,140,4136
152,152,150,151,150,138,4154
149,149,148,148,147,136,4171
148,148,146,147,146,135,4188
147,147,145,146,146,135,4205
147,146,145,146,145,135,4222
146,146,144,145,145,135,4240
146,146,144,145,144,135,4256
146,146,144,145,145,136,4274
147,146,145,146,145,137,4290
148,147,146,147,147,138,4307
149,148,147,148,148,140,4325
150,149,148,149,149,141,4342
151,150,149,149,149,141,4359
162,161,160,162,163,154,4379
164,163,161,162,163,155,4397
165,164,162,162,163,155,4413
166,165,163,163,164,155,4430
166,165,163,164,164,155,4448
166,165,164,164,164,154,4464
166,165,163,164,163,154,4482
165,164,163,163,162,153,4499
164,163,162,162,162,152,4516
163,162,161,161,161,151,4533
162,162,160,161,160,150,4550
161,160,159,159,159,148,4568
160,159,158,158,158,147,4584
159,158,157,157,156,144,4601
157,157,155,155,154,143,4619
155,155,153,154,153,141,4635
153,153,151,152,151,139,4653
146,146,145,146,144,134,4673
145,145,144,145,145,135,4689
146,146,145,146,146,137,4707
147,147,146,147,147,138,4724
149,148,147,148,148,139,4742
150,149,148,149,149,141,4758
151,151,149,150,150,142,4775
152,151,150,151,151,143,4793
153,152,151,152,152,144,4809
155,154,152,153,154,146,4827
158,157,155,156,157,150,4844
160,159,157,158,158,151,4861
161,160,159,159,159,152,4878
162,162,160,161,161,153,4895
163,163,161,162,162,154,4913
164,163,162,162,162,154,4929
